Date,Shift ID,Shift No,Shift Type,ShiftStartHC,Shift Start,Expected First Entry,Lunch,Lunch End,Shift End,ShiftEndHC
21-Aug,08-21-Day,1,Day,0,8/21/2023 6:00,8/21/2023 6:45,8/21/2023 11:45,8/21/2023 12:30,8/21/2023 17:59,0
21-Aug,08-21-Night,2,Night,0,8/21/2023 18:00,8/21/2023 18:45,8/21/2023 23:45,8/22/2023 0:30,8/22/2023 5:59,0
22-Aug,08-22-Day,3,Day,0,8/22/2023 6:00,8/22/2023 6:45,8/22/2023 11:45,8/22/2023 12:30,8/22/2023 17:59,0
22-Aug,08-22-Night,4,Night,0,8/22/2023 18:00,8/22/2023 18:45,8/22/2023 23:45,8/23/2023 0:30,8/23/2023 5:59,0
23-Aug,08-23-Day,5,Day,0,8/23/2023 6:00,8/23/2023 6:45,8/23/2023 11:45,8/23/2023 12:30,8/23/2023 17:59,0
23-Aug,08-23-Night,6,Night,0,8/23/2023 18:00,8/23/2023 18:45,8/23/2023 23:45,8/24/2023 0:30,8/24/2023 5:59,0
24-Aug,08-24-Day,7,Day,0,8/24/2023 6:00,8/24/2023 6:45,8/24/2023 11:45,8/24/2023 12:30,8/24/2023 17:59,0
24-Aug,08-24-Night,8,Night,0,8/24/2023 18:00,8/24/2023 18:45,8/24/2023 23:45,8/25/2023 0:30,8/25/2023 5:59,0
25-Aug,08-25-Day,9,Day,0,8/25/2023 6:00,8/25/2023 6:45,8/25/2023 11:45,8/25/2023 12:30,8/25/2023 17:59,0
25-Aug,08-25-Night,10,Night,0,8/25/2023 18:00,8/25/2023 18:45,8/25/2023 23:45,8/26/2023 0:30,8/26/2023 5:59,0
26-Aug,08-26-Day,11,Day,0,8/26/2023 6:00,8/26/2023 6:45,8/26/2023 11:45,8/26/2023 12:30,8/26/2023 17:59,0
26-Aug,08-26-Night,12,Night,0,8/26/2023 18:00,8/26/2023 18:45,8/26/2023 23:45,8/27/2023 0:30,8/27/2023 5:59,0
27-Aug,08-27-Day,13,Day,0,8/27/2023 6:00,8/27/2023 6:45,8/27/2023 11:45,8/27/2023 12:30,8/27/2023 17:59,0
27-Aug,08-27-Night,14,Night,0,8/27/2023 18:00,8/27/2023 18:45,8/27/2023 23:45,8/28/2023 0:30,8/28/2023 5:59,0
28-Aug,08-28-Day,15,Day,0,8/28/2023 6:00,8/28/2023 6:45,8/28/2023 11:45,8/28/2023 12:30,8/28/2023 17:59,0
28-Aug,08-28-Night,16,Night,0,8/28/2023 18:00,8/28/2023 18:45,8/28/2023 23:45,8/29/2023 0:30,8/29/2023 5:59,0
29-Aug,08-29-Day,17,Day,0,8/29/2023 6:00,8/29/2023 6:45,8/29/2023 11:45,8/29/2023 12:30,8/29/2023 17:59,0
29-Aug,08-29-Night,18,Night,0,8/29/2023 18:00,8/29/2023 18:45,8/29/2023 23:45,8/30/2023 0:30,8/30/2023 5:59,0
30-Aug,08-30-Day,19,Day,0,8/30/2023 6:00,8/30/2023 6:45,8/30/2023 11:45,8/30/2023 12:30,8/30/2023 17:59,0
30-Aug,08-30-Night,20,Night,0,8/30/2023 18:00,8/30/2023 18:45,8/30/2023 23:45,8/31/2023 0:30,8/31/2023 5:59,0
31-Aug,08-31-Day,21,Day,0,8/31/2023 6:00,8/31/2023 6:45,8/31/2023 11:45,8/31/2023 12:30,8/31/2023 17:59,0
31-Aug,08-31-Night,22,Night,0,8/31/2023 18:00,8/31/2023 18:45,8/31/2023 23:45,9/1/2023 0:30,9/1/2023 5:59,0
1-Sep,09-01-Day,23,Day,0,9/1/2023 6:00,9/1/2023 6:45,9/1/2023 11:45,9/1/2023 12:30,9/1/2023 17:59,0
1-Sep,09-01-Night,24,Night,0,9/1/2023 18:00,9/1/2023 18:45,9/1/2023 23:45,9/2/2023 0:30,9/2/2023 5:59,0
2-Sep,09-02-Day,25,Day,0,9/2/2023 6:00,9/2/2023 6:45,9/2/2023 11:45,9/2/2023 12:30,9/2/2023 17:59,0
2-Sep,09-02-Night,26,Night,0,9/2/2023 18:00,9/2/2023 18:45,9/2/2023 23:45,9/3/2023 0:30,9/3/2023 5:59,0
3-Sep,09-03-Day,27,Day,0,9/3/2023 6:00,9/3/2023 6:45,9/3/2023 11:45,9/3/2023 12:30,9/3/2023 17:59,0
3-Sep,09-03-Night,28,Night,0,9/3/2023 18:00,9/3/2023 18:45,9/3/2023 23:45,9/4/2023 0:30,9/4/2023 5:59,0
4-Sep,09-04-Day,29,Day,0,9/4/2023 6:00,9/4/2023 6:45,9/4/2023 11:45,9/4/2023 12:30,9/4/2023 17:59,0
4-Sep,09-04-Night,30,Night,0,9/4/2023 18:00,9/4/2023 18:45,9/4/2023 23:45,9/5/2023 0:30,9/5/2023 5:59,0
5-Sep,09-05-Day,31,Day,0,9/5/2023 6:00,9/5/2023 6:45,9/5/2023 11:45,9/5/2023 12:30,9/5/2023 17:59,0
5-Sep,09-05-Night,32,Night,0,9/5/2023 18:00,9/5/2023 18:45,9/5/2023 23:45,9/6/2023 0:30,9/6/2023 5:59,0
6-Sep,09-06-Day,33,Day,0,9/6/2023 6:00,9/6/2023 6:45,9/6/2023 11:45,9/6/2023 12:30,9/6/2023 17:59,0
6-Sep,09-06-Night,34,Night,0,9/6/2023 18:00,9/6/2023 18:45,9/6/2023 23:45,9/7/2023 0:30,9/7/2023 5:59,0
7-Sep,09-07-Day,35,Day,0,9/7/2023 6:00,9/7/2023 6:45,9/7/2023 11:45,9/7/2023 12:30,9/7/2023 17:59,0
7-Sep,09-07-Night,36,Night,0,9/7/2023 18:00,9/7/2023 18:45,9/7/2023 23:45,9/8/2023 0:30,9/8/2023 5:59,0
8-Sep,09-08-Day,37,Day,0,9/8/2023 6:00,9/8/2023 6:45,9/8/2023 11:45,9/8/2023 12:30,9/8/2023 17:59,0
8-Sep,09-08-Night,38,Night,0,9/8/2023 18:00,9/8/2023 18:45,9/8/2023 23:45,9/9/2023 0:30,9/9/2023 5:59,0
9-Sep,09-09-Day,39,Day,0,9/9/2023 6:00,9/9/2023 6:45,9/9/2023 11:45,9/9/2023 12:30,9/9/2023 17:59,0
9-Sep,09-09-Night,40,Night,0,9/9/2023 18:00,9/9/2023 18:45,9/9/2023 23:45,9/10/2023 0:30,9/10/2023 5:59,0
10-Sep,09-10-Day,41,Day,0,9/10/2023 6:00,9/10/2023 6:45,9/10/2023 11:45,9/10/2023 12:30,9/10/2023 17:59,0
10-Sep,09-10-Night,42,Night,0,9/10/2023 18:00,9/10/2023 18:45,9/10/2023 23:45,9/11/2023 0:30,9/11/2023 5:59,0
11-Sep,09-11-Day,43,Day,0,9/11/2023 6:00,9/11/2023 6:45,9/11/2023 11:45,9/11/2023 12:30,9/11/2023 17:59,0
11-Sep,09-11-Night,44,Night,0,9/11/2023 18:00,9/11/2023 18:45,9/11/2023 23:45,9/12/2023 0:30,9/12/2023 5:59,0
12-Sep,09-12-Day,45,Day,0,9/12/2023 6:00,9/12/2023 6:45,9/12/2023 11:45,9/12/2023 12:30,9/12/2023 17:59,0
12-Sep,09-12-Night,46,Night,0,9/12/2023 18:00,9/12/2023 18:45,9/12/2023 23:45,9/13/2023 0:30,9/13/2023 5:59,0
13-Sep,09-13-Day,47,Day,0,9/13/2023 6:00,9/13/2023 6:45,9/13/2023 11:45,9/13/2023 12:30,9/13/2023 17:59,0
13-Sep,09-13-Night,48,Night,0,9/13/2023 18:00,9/13/2023 18:45,9/13/2023 23:45,9/14/2023 0:30,9/14/2023 5:59,0
14-Sep,09-14-Day,49,Day,0,9/14/2023 6:00,9/14/2023 6:45,9/14/2023 11:45,9/14/2023 12:30,9/14/2023 17:59,0
14-Sep,09-14-Night,50,Night,0,9/14/2023 18:00,9/14/2023 18:45,9/14/2023 23:45,9/15/2023 0:30,9/15/2023 5:59,0
15-Sep,09-15-Day,51,Day,0,9/15/2023 6:00,9/15/2023 6:45,9/15/2023 11:45,9/15/2023 12:30,9/15/2023 17:59,0
15-Sep,09-15-Night,52,Night,0,9/15/2023 18:00,9/15/2023 18:45,9/15/2023 23:45,9/16/2023 0:30,9/16/2023 5:59,0
16-Sep,09-16-Day,53,Day,0,9/16/2023 6:00,9/16/2023 6:45,9/16/2023 11:45,9/16/2023 12:30,9/16/2023 17:59,0
16-Sep,09-16-Night,54,Night,0,9/16/2023 18:00,9/16/2023 18:45,9/16/2023 23:45,9/17/2023 0:30,9/17/2023 5:59,0
